store_id,date,status,revenue
1,01/01/2019,'open',100
2,01/01/2019,'open',100
3,01/01/2019,'open',100
4,01/01/2019,'open',100
1,02/01/2019,'open',100
2,02/01/2019,'open',100
3,02/01/2019,'open',100
4,02/01/2019,'open',100
1,03/01/2019,'open',100
2,03/01/2019,'open',100
3,03/01/2019,'open',100
4,03/01/2019,'open',100
1,04/01/2019,'open',100
2,04/01/2019,'open',100
3,04/01/2019,'closed',0
4,04/01/2019,'open',100
1,05/01/2019,'open',100
2,05/01/2019,'open',100
3,05/01/2019,'closed',0
4,05/01/2019,'open',100
1,06/01/2019,'open',100
2,06/01/2019,'open',100
3,06/01/2019,'closed',0
4,06/01/2019,'fraud',50
1,07/01/2019,'open',100
2,07/01/2019,'open',100
3,07/01/2019,'closed',0
4,07/01/2019,'fraud',0
1,08/01/2019,'open',100
2,08/01/2019,'open',100
3,08/01/2019,'closed',0
4,08/01/2019,'fraud',0
