"river","answer"
1,1
2,1.49874
3,1.872864
4,2.145196
5,2.36022
6,2.539938
7,2.691451
8,2.821928
9,2.941686
10,3.04077
11,3.140698
12,3.225456
13,3.306472
14,3.381574
15,3.45357
16,3.513744
17,3.577922
18,3.635838
19,3.689002
20,3.745
21,3.785145
22,3.821708
23,3.88125
24,3.916416
25,3.9622
26,3.995186
27,4.040523
28,4.076352
29,4.09567
30,4.15479
31,4.182427
32,4.190816
33,4.238454
34,4.27839
35,4.288095
36,4.32774
37,4.350645
38,4.389988
39,4.400838
40,4.4316
41,4.448459
42,4.474806
43,4.492941
44,4.534024
45,4.550625
46,4.5655
47,4.602522
48,4.616256
49,4.625894
50,4.6485
51,4.660635
52,4.685356
53,4.716841
54,4.724676
55,4.72912
56,4.757032
57,4.788855
58,4.810926
59,4.808264
60,4.84956
61,4.848524
62,4.868674
63,4.870152
64,4.898688
65,4.897815
66,4.932048
67,4.936158
68,4.948972
69,4.974348
70,4.99751
71,5.006423
72,5.023944
73,5.040723
74,5.044876
75,5.063175
76,5.088048
77,5.043192
78,5.092932
79,5.10498
80,5.12256
81,5.138154
82,5.134348
83,5.174552
84,5.172888
85,5.194605
86,5.203344
87,5.195205
88,5.201328
89,5.247707
90,5.26086
91,5.2507
92,5.259364
93,5.289468
94,5.311564
95,5.324845
96,5.292192
97,5.298819
98,5.31209
99,5.33808
100,5.3699
101,5.336032
102,5.370606
103,5.36836
104,5.412576
105,5.382405
106,5.424868
107,5.400183
108,5.449248
109,5.429617
110,5.47624
111,5.431896
112,5.451712
113,5.43304
114,5.457522
115,5.503325
116,5.49666
117,5.488821
118,5.489242
119,5.483639
120,5.54988
121,5.514817
122,5.53636
123,5.542011
124,5.546644
125,5.560375
126,5.573232
127,5.578729
128,5.619712
129,5.633043
130,5.60326
131,5.606145
132,5.612904
133,5.640929
134,5.663242
135,5.64273
136,5.620608
137,5.657552
138,5.670972
139,5.697749
140,5.66384
141,5.686389
142,5.705418
143,5.681819
144,5.715936
145,5.73794
146,5.744662
147,5.744025
148,5.750688
149,5.747079
150,5.75535
151,5.751892
152,5.77904
153,5.761521
154,5.794866
155,5.80227
156,5.788692
157,5.791102
158,5.795914
159,5.79078
160,5.82656
161,5.843978
162,5.80608
163,5.829695
164,5.82282
165,5.865255
166,5.848844
167,5.902782
168,5.804232
169,5.879848
170,5.85327
171,5.869062
172,5.878444
173,5.92698
174,5.890422
175,5.914125
176,5.93912
177,5.892684
178,5.880942
179,5.895365
180,5.9355
181,5.932094
182,5.906264
183,5.935788
184,5.963808
185,5.957555
186,6.001476
187,6.056556
188,5.956028
189,5.985441
190,5.98253
191,5.980401
192,6.005376
193,5.95791
194,6.007792
195,6.047535
196,6.057576
197,5.996483
198,6.00633
199,6.026914
200,6.0376
201,6.013116
202,6.046668
203,6.131615
204,6.020652
205,6.06595
206,6.022822
207,6.09408
208,6.107296
209,6.10907
210,6.12927
211,6.140733
212,6.050692
213,6.127584
214,6.108202
215,6.06644
216,6.13872
217,6.087935
218,6.117516
219,6.132876
220,6.09378
221,6.140706
222,6.146736
223,6.120681
224,6.170528
225,6.16995
226,6.131154
227,6.151927
228,6.162384
229,6.165367
230,6.15043
231,6.199809
232,6.197416
233,6.171238
234,6.172686
235,6.201885
236,6.186268
237,6.190203
238,6.23917
239,6.208503
240,6.26904
241,6.261903
242,6.23029
243,6.199173
244,6.269336
245,6.21075
246,6.263406
247,6.202417
248,6.239928
249,6.256872
250,6.2785
251,6.280773
252,6.28236
253,6.276677
254,6.271006
255,6.29697
256,6.217728
257,6.322714
258,6.26553
259,6.252519
260,6.31878
261,6.299757
262,6.320226
263,6.308055
264,6.309336
265,6.3388
266,6.32548
267,6.304671
268,6.31274
269,6.35916
270,6.32772
271,6.40102
272,6.399888
273,6.327867
274,6.326112
275,6.331875
276,6.442944
277,6.340253
278,6.336732
279,6.41421
280,6.3882
281,6.384601
282,6.391248
283,6.393536
284,6.391704
285,6.410505
286,6.414694
287,6.377714
288,6.404256
289,6.414355
290,6.39972
291,6.444195
292,6.397428
293,6.441898
294,6.422136
295,6.462565
296,6.481216
297,6.420843
298,6.37273
299,6.413849
300,6.4512
301,6.455848
302,6.425352
303,6.406632
304,6.462432
305,6.42147
306,6.47802
307,6.484454
308,6.53114
309,6.506613
310,6.48241
311,6.525402
312,6.490848
313,6.477535
314,6.447048
315,6.496875
316,6.450192
317,6.513399
318,6.530448
319,6.563425
320,6.46048
321,6.499929
322,6.453202
323,6.470336
324,6.502356
325,6.493175
326,6.54608
327,6.568449
328,6.580992
329,6.475707
330,6.50331
331,6.586238
332,6.619416
333,6.514146
334,6.6299
335,6.531495
336,6.544944
337,6.534767
338,6.588972
339,6.51558
340,6.53344
341,6.589825
342,6.500052
343,6.575653
344,6.625784
345,6.605025
346,6.602372
347,6.546502
348,6.614088
349,6.557012
350,6.56985
351,6.653205
352,6.581344
353,6.566859
354,6.630774
355,6.672225
356,6.59668
357,6.592005
358,6.628012
359,6.615293
360,6.60492
361,6.618574
362,6.565232
363,6.608052
364,6.696144
365,6.660155
366,6.571164
367,6.728578
368,6.703856
369,6.670413
370,6.6785
371,6.646836
372,6.66996
373,6.570022
374,6.70582
375,6.711
376,6.656328
377,6.591091
378,6.660738
379,6.713606
380,6.66862
381,6.662166
382,6.728166
383,6.558875
384,6.741504
385,6.682445
386,6.65657
387,6.726834
388,6.668944
389,6.680686
390,6.73257
391,6.707996
392,6.732992
393,6.683751
394,6.781922
395,6.69446
396,6.753384
397,6.671188
398,6.797044
399,6.756666
400,6.7012
401,6.686675
402,6.68526
403,6.755892
404,6.712864
405,6.68412
406,6.81268
407,6.713872
408,6.731592
409,6.744001
410,6.75557
411,6.782322
412,6.856916
413,6.809544
414,6.775938
415,6.71636
416,6.798688
417,6.723291
418,6.754462
419,6.803722
420,6.77208
421,6.799571
422,6.740184
423,6.770115
424,6.748808
425,6.85015
426,6.723132
427,6.752578
428,6.812476
429,6.741306
430,6.80948
431,6.819282
432,6.840288
433,6.758264
